"marker"	"OBO.Ontology.ID"	"species"	"times"	"cell_ID"	"gene_description"	"original_celltype.MSigDB"	"original_celltype.PanglaoDB"	"original_celltype.CellMarker"	"original_celltype.GeneMarkeR"	"original_celltype.Azimuth"	"original_celltype.ASCTB"
"MS4A6A"	"neutrophil"	"Human"	1	"CL:0000775"	"membrane spanning 4-domains A6A "	"NEUTROPHIL"	NA	NA	NA	NA	NA
"MS4A7"	"CD14-low, CD16-positive monocyte"	"Human"	2	"CL:0002396"	"membrane spanning 4-domains A7 "	NA	NA	NA	NA	"CD16+ Monocyte"	"CD16 monocyte"
"MS4A7"	"dendritic cell, human"	"Human"	1	"CL:0001056"	"membrane spanning 4-domains A7 "	NA	NA	"CD1C-CD141- dendritic cell"	NA	NA	NA
"MS4A7"	"macrophage"	"Human"	2	"CL:0000235"	"membrane spanning 4-domains A7 "	NA	"Macrophages"	NA	"macrophage"	NA	NA
"MS4A7"	"monocyte"	"Human"	4	"CL:0000576"	"membrane spanning 4-domains A7 "	"MONOCYTE"	"Monocytes"	NA	"monocyte"	NA	"monocyte"
"MSC"	"cytotoxic T cell"	"Human"	1	"CL:0000910"	"musculin "	"CD8 T CELL"	NA	NA	NA	NA	NA
"MSH2"	"erythroid lineage cell"	"Human"	1	"CL:0000764"	"mutS homolog 2 "	"ERYTHROBLAST"	NA	NA	NA	NA	NA
"MSH5"	"B cell"	"Human"	1	"CL:0000236"	"mutS homolog 5 "	NA	"B cells"	NA	NA	NA	NA
"MSH6"	"erythroid lineage cell"	"Human"	1	"CL:0000764"	"mutS homolog 6 "	"ERYTHROBLAST"	NA	NA	NA	NA	NA
"MSI2"	"lymphoid lineage restricted progenitor cell"	"Human"	1	"CL:0000838"	"musashi RNA binding protein 2 "	"PUTATIVE LYMPHOID PRIMED MULTIPOTENT PROGENITOR 1"	NA	NA	NA	NA	NA
"MSI2"	"pro-B cell"	"Human"	1	"CL:0000826"	"musashi RNA binding protein 2 "	"PRO B"	NA	NA	NA	NA	NA
"MSL1"	"neutrophil"	"Human"	1	"CL:0000775"	"MSL complex subunit 1 "	NA	NA	NA	"neutrophil"	NA	NA
"MSN"	"dendritic cell, human"	"Human"	1	"CL:0001056"	"moesin "	NA	NA	"CD1C-CD141- dendritic cell"	NA	NA	NA
"MSN"	"neutrophil"	"Human"	1	"CL:0000775"	"moesin "	"NEUTROPHIL"	NA	NA	NA	NA	NA
"MSR1"	"monocyte"	"Human"	1	"CL:0000576"	"macrophage scavenger receptor 1 "	"MONOCYTE"	NA	NA	NA	NA	NA
"MSRB1"	"neutrophil"	"Human"	1	"CL:0000775"	"methionine sulfoxide reductase B1 "	"NEUTROPHIL"	NA	NA	NA	NA	NA
"MSRB3"	"hematopoietic lineage restricted progenitor cell"	"Human"	1	"CL:0002031"	"methionine sulfoxide reductase B3 "	"CD34 POS HSC"	NA	NA	NA	NA	NA
"MT-ATP6"	"eosinophil"	"Human"	1	"CL:0000771"	"mitochondrially encoded ATP synthase membrane subunit 6 "	"EOSINOPHIL"	NA	NA	NA	NA	NA
"MT-ATP8"	"lymphoid lineage restricted progenitor cell"	"Human"	1	"CL:0000838"	"mitochondrially encoded ATP synthase membrane subunit 8 "	"PUTATIVE LYMPHOID PRIMED MULTIPOTENT PROGENITOR 1"	NA	NA	NA	NA	NA
