"marker"	"OBO.Ontology.ID"	"species"	"times"	"cell_ID"	"gene_description"	"original_celltype.MSigDB"	"original_celltype.PanglaoDB"	"original_celltype.CellMarker"	"original_celltype.GeneMarkeR"	"original_celltype.Azimuth"	"original_celltype.ASCTB"
"38200"	"neutrophil"	"Human"	1	"CL:0000775"	"argonaute RISC component 4 "	"NEUTROPHIL"	NA	NA	NA	NA	NA
"A2M-AS1"	"cytotoxic T cell"	"Human"	1	"CL:0000910"	"A2M antisense RNA 1 "	"CD8 T CELL"	NA	NA	NA	NA	NA
"A4GALT"	"erythroid lineage cell"	"Human"	1	"CL:0000764"	"alpha 1,4-galactosyltransferase (P blood group) "	"ERYTHROBLAST"	NA	NA	NA	NA	NA
"A4GALT"	"mast cell"	"Human"	1	"CL:0000097"	"alpha 1,4-galactosyltransferase (P blood group) "	NA	"Mast cells"	NA	NA	NA	NA
"AAAS"	"erythroid lineage cell"	"Human"	1	"CL:0000764"	"aladin WD repeat nucleoporin "	"ERYTHROBLAST"	NA	NA	NA	NA	NA
"AAK1"	"naive T cell"	"Human"	1	"CL:0000898"	"AP2 associated kinase 1 "	"NAIVE T CELL"	NA	NA	NA	NA	NA
"AARS1"	"erythroid lineage cell"	"Human"	1	"CL:0000764"	"alanyl-tRNA synthetase 1 "	"ERYTHROBLAST"	NA	NA	NA	NA	NA
"AASDHPPT"	"erythroid lineage cell"	"Human"	1	"CL:0000764"	"aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase "	"ERYTHROBLAST"	NA	NA	NA	NA	NA
"ABCA1"	"erythroid lineage cell"	"Human"	1	"CL:0000764"	"ATP binding cassette subfamily A member 1 "	"PUTATIVE EARLY ERYTHROID COMMITMENT"	NA	NA	NA	NA	NA
"ABCA1"	"immature neutrophil"	"Human"	1	"CL:0000776"	"ATP binding cassette subfamily A member 1 "	"IMMATURE NEUTROPHIL"	NA	NA	NA	NA	NA
"ABCA2"	"dendritic cell, human"	"Human"	1	"CL:0001056"	"ATP binding cassette subfamily A member 2 "	NA	NA	"AXL+SIGLEC6+ dendritic cell"	NA	NA	NA
"ABCA3"	"platelet"	"Human"	1	"CL:0000233"	"ATP binding cassette subfamily A member 3 "	NA	"Platelets"	NA	NA	NA	NA
"ABCA7"	"dendritic cell, human"	"Human"	1	"CL:0001056"	"ATP binding cassette subfamily A member 7 "	NA	NA	"AXL+SIGLEC6+ dendritic cell"	NA	NA	NA
"ABCB1"	"hematopoietic stem cell"	"Human"	1	"CL:0000037"	"ATP binding cassette subfamily B member 1 "	NA	"Hematopoietic stem cells"	NA	NA	NA	NA
"ABCB1"	"natural killer cell"	"Human"	1	"CL:0000623"	"ATP binding cassette subfamily B member 1 "	"NK CELLS"	NA	NA	NA	NA	NA
"ABCB10"	"erythroid lineage cell"	"Human"	1	"CL:0000764"	"ATP binding cassette subfamily B member 10 "	"ERYTHROBLAST"	NA	NA	NA	NA	NA
"ABCB4"	"follicular B cell"	"Human"	1	"CL:0000843"	"ATP binding cassette subfamily B member 4 "	"FOLLICULAR B CELL"	NA	NA	NA	NA	NA
"ABCB9"	"plasma cell"	"Human"	2	"CL:0000786"	"ATP binding cassette subfamily B member 9 "	"PLASMA CELL"	"Plasma cells"	NA	NA	NA	NA
"ABCC3"	"dendritic cell, human"	"Human"	1	"CL:0001056"	"ATP binding cassette subfamily C member 3 "	NA	NA	"CD1C-CD141- dendritic cell"	NA	NA	NA
"ABCC3"	"megakaryocyte progenitor cell"	"Human"	1	"CL:0000553"	"ATP binding cassette subfamily C member 3 "	"PUTATIVE MEGAKARYOCYTE PROGENITOR"	NA	NA	NA	NA	NA
"ABCC3"	"platelet"	"Human"	1	"CL:0000233"	"ATP binding cassette subfamily C member 3 "	"PLATELET"	NA	NA	NA	NA	NA
"ABCC4"	"megakaryocyte progenitor cell"	"Human"	1	"CL:0000553"	"ATP binding cassette subfamily C member 4 "	"PUTATIVE MEGAKARYOCYTE PROGENITOR"	NA	NA	NA	NA	NA
"ABCC4"	"megakaryocyte-erythroid progenitor cell"	"Human"	1	"CL:0000050"	"ATP binding cassette subfamily C member 4 "	"CD34 POS MEP"	NA	NA	NA	NA	NA
"ABCC4"	"platelet"	"Human"	1	"CL:0000233"	"ATP binding cassette subfamily C member 4 "	NA	"Platelets"	NA	NA	NA	NA
"ABCC5"	"erythroid lineage cell"	"Human"	1	"CL:0000764"	"ATP binding cassette subfamily C member 5 "	"ERYTHROBLAST"	NA	NA	NA	NA	NA
"ABCE1"	"erythroid lineage cell"	"Human"	1	"CL:0000764"	"ATP binding cassette subfamily E member 1 "	"ERYTHROBLAST"	NA	NA	NA	NA	NA
"ABCF2"	"erythroid lineage cell"	"Human"	1	"CL:0000764"	"ATP binding cassette subfamily F member 2 "	"ERYTHROBLAST"	NA	NA	NA	NA	NA
"ABCG2"	"hematopoietic stem cell"	"Human"	1	"CL:0000037"	"ATP binding cassette subfamily G member 2 (Junior blood group) "	NA	"Hematopoietic stem cells"	NA	NA	NA	NA
"ABCG2"	"plasmacytoid dendritic cell"	"Human"	1	"CL:0000784"	"ATP binding cassette subfamily G member 2 (Junior blood group) "	"CD34 POS PRE PC"	NA	NA	NA	NA	NA
"ABHD15"	"dendritic cell, human"	"Human"	1	"CL:0001056"	"abhydrolase domain containing 15 "	NA	NA	"AXL+SIGLEC6+ dendritic cell"	NA	NA	NA
"ABHD15"	"precursor B cell"	"Human"	1	"CL:0000817"	"abhydrolase domain containing 15 "	"CD34 POS PRE B"	NA	NA	NA	NA	NA
"ABHD17A"	"natural killer cell"	"Human"	1	"CL:0000623"	"abhydrolase domain containing 17A, depalmitoylase "	"NK CELLS"	NA	NA	NA	NA	NA
"ABHD17B"	"plasmacytoid dendritic cell"	"Human"	1	"CL:0000784"	"abhydrolase domain containing 17B, depalmitoylase "	"CD34 POS PRE PC"	NA	NA	NA	NA	NA
"ABHD3"	"dendritic cell, human"	"Human"	1	"CL:0001056"	"abhydrolase domain containing 3, phospholipase "	NA	NA	"CD1C-CD141- dendritic cell"	NA	NA	NA
"ABHD5"	"neutrophil"	"Human"	1	"CL:0000775"	"abhydrolase domain containing 5, lysophosphatidic acid acyltransferase "	"NEUTROPHIL"	NA	NA	NA	NA	NA
"ABI2"	"dendritic cell, human"	"Human"	1	"CL:0001056"	"abl interactor 2 "	NA	NA	"AXL+SIGLEC6+ dendritic cell"	NA	NA	NA
"ABI3"	"dendritic cell, human"	"Human"	1	"CL:0001056"	"ABI family member 3 "	NA	NA	"CD1C-CD141- dendritic cell"	NA	NA	NA
"ABI3"	"monocyte"	"Human"	1	"CL:0000576"	"ABI family member 3 "	"MONOCYTE"	NA	NA	NA	NA	NA
"ABLIM1"	"naive T cell"	"Human"	1	"CL:0000898"	"actin binding LIM protein 1 "	"NAIVE T CELL"	NA	NA	NA	NA	NA
"ABLIM3"	"platelet"	"Human"	1	"CL:0000233"	"actin binding LIM protein family member 3 "	"PLATELET"	NA	NA	NA	NA	NA
"ABO"	"erythroid lineage cell"	"Human"	1	"CL:0000764"	"ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase "	"EARLY ERYTHROBLAST"	NA	NA	NA	NA	NA
"ABRACL"	"neutrophil"	"Human"	1	"CL:0000775"	"ABRA C-terminal like "	"NEUTROPHIL"	NA	NA	NA	NA	NA
"ABTB1"	"neutrophil"	"Human"	1	"CL:0000775"	"ankyrin repeat and BTB domain containing 1 "	NA	NA	NA	"neutrophil"	NA	NA
"ACAA1"	"monocyte"	"Human"	1	"CL:0000576"	"acetyl-CoA acyltransferase 1 "	"MONOCYTE"	NA	NA	NA	NA	NA
"ACAA2"	"erythroid lineage cell"	"Human"	1	"CL:0000764"	"acetyl-CoA acyltransferase 2 "	"ERYTHROBLAST"	NA	NA	NA	NA	NA
"ACAD9"	"erythroid lineage cell"	"Human"	1	"CL:0000764"	"acyl-CoA dehydrogenase family member 9 "	"ERYTHROBLAST"	NA	NA	NA	NA	NA
"ACADM"	"pro-B cell"	"Human"	1	"CL:0000826"	"acyl-CoA dehydrogenase medium chain "	"PRO B"	NA	NA	NA	NA	NA
"ACADS"	"erythroid lineage cell"	"Human"	1	"CL:0000764"	"acyl-CoA dehydrogenase short chain "	"ERYTHROBLAST"	NA	NA	NA	NA	NA
"ACADVL"	"erythroid lineage cell"	"Human"	1	"CL:0000764"	"acyl-CoA dehydrogenase very long chain "	"ERYTHROBLAST"	NA	NA	NA	NA	NA
"ACAP1"	"naive T cell"	"Human"	1	"CL:0000898"	"ArfGAP with coiled-coil, ankyrin repeat and PH domains 1 "	"NAIVE T CELL"	NA	NA	NA	NA	NA
"ACAP2"	"common lymphoid progenitor"	"Human"	1	"CL:0000051"	"ArfGAP with coiled-coil, ankyrin repeat and PH domains 2 "	"MULTILYMPHOID PROGENITOR"	NA	NA	NA	NA	NA
"ACAT1"	"erythroid lineage cell"	"Human"	1	"CL:0000764"	"acetyl-CoA acetyltransferase 1 "	"ERYTHROBLAST"	NA	NA	NA	NA	NA
"ACAT2"	"pro-B cell"	"Human"	1	"CL:0000826"	"acetyl-CoA acetyltransferase 2 "	"PRO B"	NA	NA	NA	NA	NA
"ACE"	"hematopoietic stem cell"	"Human"	1	"CL:0000037"	"angiotensin I converting enzyme "	NA	"Hematopoietic stem cells"	NA	NA	NA	NA
"ACE"	"monocyte"	"Human"	1	"CL:0000576"	"angiotensin I converting enzyme "	NA	"Monocytes"	NA	NA	NA	NA
"ACER3"	"mast cell"	"Human"	1	"CL:0000097"	"alkaline ceramidase 3 "	NA	"Mast cells"	NA	NA	NA	NA
"ACER3"	"neutrophil"	"Human"	1	"CL:0000775"	"alkaline ceramidase 3 "	"NEUTROPHIL"	NA	NA	NA	NA	NA
"ACHE"	"erythroid lineage cell"	"Human"	1	"CL:0000764"	"acetylcholinesterase (Cartwright blood group) "	"ERYTHROBLAST"	NA	NA	NA	NA	NA
"ACHE"	"mast cell"	"Human"	1	"CL:0000097"	"acetylcholinesterase (Cartwright blood group) "	NA	"Mast cells"	NA	NA	NA	NA
"ACHE"	"megakaryocyte"	"Human"	1	"CL:0000556"	"acetylcholinesterase (Cartwright blood group) "	NA	"Megakaryocytes"	NA	NA	NA	NA
"ACKR1"	"erythroid lineage cell"	"Human"	1	"CL:0000764"	"atypical chemokine receptor 1 (Duffy blood group) "	"ERYTHROBLAST"	NA	NA	NA	NA	NA
"ACKR3"	"platelet"	"Human"	1	"CL:0000233"	"atypical chemokine receptor 3 "	NA	"Platelets"	NA	NA	NA	NA
"ACOT13"	"erythroid lineage cell"	"Human"	1	"CL:0000764"	"acyl-CoA thioesterase 13 "	"ERYTHROBLAST"	NA	NA	NA	NA	NA
"ACOT7"	"pro-B cell"	"Human"	1	"CL:0000826"	"acyl-CoA thioesterase 7 "	"PRO B"	NA	NA	NA	NA	NA
"ACOT9"	"dendritic cell, human"	"Human"	1	"CL:0001056"	"acyl-CoA thioesterase 9 "	NA	NA	"CD1C-CD141- dendritic cell"	NA	NA	NA
"ACP1"	"pro-B cell"	"Human"	1	"CL:0000826"	"acid phosphatase 1 "	"PRO B"	NA	NA	NA	NA	NA
"ACP5"	"follicular B cell"	"Human"	1	"CL:0000843"	"acid phosphatase 5, tartrate resistant "	"FOLLICULAR B CELL"	NA	NA	NA	NA	NA
"ACP5"	"monocyte"	"Human"	1	"CL:0000576"	"acid phosphatase 5, tartrate resistant "	NA	"Monocytes"	NA	NA	NA	NA
"ACRBP"	"platelet"	"Human"	1	"CL:0000233"	"acrosin binding protein "	"PLATELET"	NA	NA	NA	NA	NA
"ACSBG1"	"erythroid lineage cell"	"Human"	1	"CL:0000764"	"acyl-CoA synthetase bubblegum family member 1 "	"ERYTHROBLAST"	NA	NA	NA	NA	NA
"ACSL1"	"neutrophil"	"Human"	1	"CL:0000775"	"acyl-CoA synthetase long chain family member 1 "	"NEUTROPHIL"	NA	NA	NA	NA	NA
"ACSL4"	"megakaryocyte-erythroid progenitor cell"	"Human"	1	"CL:0000050"	"acyl-CoA synthetase long chain family member 4 "	"MEGAKARYOCYTE ERYTHROID PROGENITOR"	NA	NA	NA	NA	NA
"ACSL4"	"neutrophil"	"Human"	1	"CL:0000775"	"acyl-CoA synthetase long chain family member 4 "	"NEUTROPHIL"	NA	NA	NA	NA	NA
"ACSL6"	"naive T cell"	"Human"	1	"CL:0000898"	"acyl-CoA synthetase long chain family member 6 "	"NAIVE T CELL"	NA	NA	NA	NA	NA
"ACSM3"	"megakaryocyte-erythroid progenitor cell"	"Human"	1	"CL:0000050"	"acyl-CoA synthetase medium chain family member 3 "	"MEGAKARYOCYTE ERYTHROID PROGENITOR"	NA	NA	NA	NA	NA
"ACSM3"	"precursor B cell"	"Human"	1	"CL:0000817"	"acyl-CoA synthetase medium chain family member 3 "	"CD34 POS PRE B"	NA	NA	NA	NA	NA
"ACSS1"	"erythroid lineage cell"	"Human"	1	"CL:0000764"	"acyl-CoA synthetase short chain family member 1 "	"ERYTHROBLAST"	NA	NA	NA	NA	NA
"ACSS2"	"CD141-positive myeloid dendritic cell"	"Human"	1	"CL:0002394"	"acyl-CoA synthetase short chain family member 2 "	NA	NA	"CD141+CLEC9A+ dendritic cell"	NA	NA	NA
"ACSS2"	"neutrophil"	"Human"	1	"CL:0000775"	"acyl-CoA synthetase short chain family member 2 "	"NEUTROPHIL"	NA	NA	NA	NA	NA
"ACTB"	"myeloid cell"	"Human"	1	"CL:0000763"	"actin beta "	NA	NA	NA	"myeloid cell"	NA	NA
"ACTB"	"neutrophil"	"Human"	1	"CL:0000775"	"actin beta "	"NEUTROPHIL"	NA	NA	NA	NA	NA
"ACTG1"	"common lymphoid progenitor"	"Human"	1	"CL:0000051"	"actin gamma 1 "	"MULTILYMPHOID PROGENITOR"	NA	NA	NA	NA	NA
"ACTG1"	"lymphoid lineage restricted progenitor cell"	"Human"	1	"CL:0000838"	"actin gamma 1 "	"PUTATIVE LYMPHOID PRIMED MULTIPOTENT PROGENITOR 2"	NA	NA	NA	NA	NA
"ACTG1"	"macrophage dendritic cell progenitor"	"Human"	1	"CL:0002009"	"actin gamma 1 "	"GRANULOCYTE MACROPHAGE PROGENITOR"	NA	NA	NA	NA	NA
"ACTG1"	"pro-B cell"	"Human"	1	"CL:0000826"	"actin gamma 1 "	"PRO B"	NA	NA	NA	NA	NA
"ACTL6A"	"erythroid lineage cell"	"Human"	1	"CL:0000764"	"actin like 6A "	"ERYTHROBLAST"	NA	NA	NA	NA	NA
"ACTN1"	"CD141-positive myeloid dendritic cell"	"Human"	1	"CL:0002394"	"actinin alpha 1 "	NA	NA	"CD141+CLEC9A+ dendritic cell"	NA	NA	NA
"ACTN1"	"megakaryocyte progenitor cell"	"Human"	1	"CL:0000553"	"actinin alpha 1 "	"CD34 POS MKP"	NA	NA	NA	NA	NA
"ACTN4"	"natural killer cell"	"Human"	1	"CL:0000623"	"actinin alpha 4 "	"NK CELLS"	NA	NA	NA	NA	NA
"ACTR2"	"neutrophil"	"Human"	1	"CL:0000775"	"actin related protein 2 "	"NEUTROPHIL"	NA	NA	NA	NA	NA
"ACTR3"	"natural killer cell"	"Human"	1	"CL:0000623"	"actin related protein 3 "	"NK CELLS"	NA	NA	NA	NA	NA
"ACY3"	"common lymphoid progenitor"	"Human"	2	"CL:0000051"	"aminoacylase 3 "	"MULTILYMPHOID PROGENITOR"	NA	NA	NA	"Common Lymphoid Progenitor"	NA
"ACY3"	"early lymphoid progenitor"	"Human"	1	"CL:0000936"	"aminoacylase 3 "	"CD34 POS LMPP"	NA	NA	NA	NA	NA
"ADA"	"common lymphoid progenitor"	"Human"	2	"CL:0000051"	"adenosine deaminase "	"CD34 POS CLP"	NA	NA	NA	NA	"common lymphoid progenitor (CLP)"
"ADA"	"dendritic cell, human"	"Human"	1	"CL:0001056"	"adenosine deaminase "	NA	NA	"AXL+SIGLEC6+ dendritic cell"	NA	NA	NA
"ADA"	"hematopoietic multipotent progenitor cell"	"Human"	1	"CL:0000837"	"adenosine deaminase "	NA	NA	NA	NA	NA	"hemopoietic stem cell/multipotent progenitor (HSC/MPP)"
"ADA"	"lymphoid lineage restricted progenitor cell"	"Human"	1	"CL:0000838"	"adenosine deaminase "	"PUTATIVE LYMPHOID PRIMED MULTIPOTENT PROGENITOR 2"	NA	NA	NA	NA	NA
"ADA2"	"monocyte"	"Human"	1	"CL:0000576"	"adenosine deaminase 2 "	NA	"Monocytes"	NA	NA	NA	NA
"ADA2"	"neutrophil"	"Human"	1	"CL:0000775"	"adenosine deaminase 2 "	"NEUTROPHIL"	NA	NA	NA	NA	NA
"ADAM10"	"platelet"	"Human"	1	"CL:0000233"	"ADAM metallopeptidase domain 10 "	NA	"Platelets"	NA	NA	NA	NA
"ADAM15"	"dendritic cell, human"	"Human"	1	"CL:0001056"	"ADAM metallopeptidase domain 15 "	NA	NA	"CD1C+_B dendritic cell"	NA	NA	NA
"ADAM15"	"neutrophil"	"Human"	1	"CL:0000775"	"ADAM metallopeptidase domain 15 "	"NEUTROPHIL"	NA	NA	NA	NA	NA
"ADAM19"	"dendritic cell"	"Human"	1	"CL:0000451"	"ADAM metallopeptidase domain 19 "	NA	"Dendritic cells"	NA	NA	NA	NA
"ADAM19"	"dendritic cell, human"	"Human"	1	"CL:0001056"	"ADAM metallopeptidase domain 19 "	NA	NA	"AXL+SIGLEC6+ dendritic cell"	NA	NA	NA
"ADAM19"	"follicular B cell"	"Human"	1	"CL:0000843"	"ADAM metallopeptidase domain 19 "	"FOLLICULAR B CELL"	NA	NA	NA	NA	NA
"ADAM23"	"precursor B cell"	"Human"	1	"CL:0000817"	"ADAM metallopeptidase domain 23 "	"CD34 POS PRE B"	NA	NA	NA	NA	NA
"ADAM28"	"CD141-positive myeloid dendritic cell"	"Human"	1	"CL:0002394"	"ADAM metallopeptidase domain 28 "	NA	NA	"CD141+CLEC9A+ dendritic cell"	NA	NA	NA
"ADAM28"	"follicular B cell"	"Human"	1	"CL:0000843"	"ADAM metallopeptidase domain 28 "	"FOLLICULAR B CELL"	NA	NA	NA	NA	NA
"ADAM8"	"dendritic cell, human"	"Human"	1	"CL:0001056"	"ADAM metallopeptidase domain 8 "	NA	NA	"CD1C+_A dendritic cell"	NA	NA	NA
"ADAM8"	"macrophage"	"Human"	1	"CL:0000235"	"ADAM metallopeptidase domain 8 "	NA	"Macrophages"	NA	NA	NA	NA
"ADAM8"	"natural killer cell"	"Human"	1	"CL:0000623"	"ADAM metallopeptidase domain 8 "	"NK CELLS"	NA	NA	NA	NA	NA
"ADAM8"	"neutrophil"	"Human"	2	"CL:0000775"	"ADAM metallopeptidase domain 8 "	NA	"Neutrophils"	NA	"neutrophil"	NA	NA
"ADAM9"	"neutrophil"	"Human"	1	"CL:0000775"	"ADAM metallopeptidase domain 9 "	"NEUTROPHIL"	NA	NA	NA	NA	NA
"ADAMTS14"	"natural killer cell"	"Human"	1	"CL:0000623"	"ADAM metallopeptidase with thrombospondin type 1 motif 14 "	NA	"NK cells"	NA	NA	NA	NA
"ADAMTS3"	"erythroid lineage cell"	"Human"	1	"CL:0000764"	"ADAM metallopeptidase with thrombospondin type 1 motif 3 "	"ERYTHROBLAST"	NA	NA	NA	NA	NA
"ADAMTS9"	"mast cell"	"Human"	1	"CL:0000097"	"ADAM metallopeptidase with thrombospondin type 1 motif 9 "	NA	"Mast cells"	NA	NA	NA	NA
"ADAP1"	"monocyte"	"Human"	1	"CL:0000576"	"ArfGAP with dual PH domains 1 "	NA	NA	NA	"monocyte"	NA	NA
"ADAP1"	"neutrophil"	"Human"	1	"CL:0000775"	"ArfGAP with dual PH domains 1 "	"NEUTROPHIL"	NA	NA	NA	NA	NA
"ADAP2"	"monocyte"	"Human"	1	"CL:0000576"	"ArfGAP with dual PH domains 2 "	"MONOCYTE"	NA	NA	NA	NA	NA
"ADCY6"	"megakaryocyte progenitor cell"	"Human"	1	"CL:0000553"	"adenylate cyclase 6 "	"CD34 POS MKP"	NA	NA	NA	NA	NA
"ADCYAP1"	"basophil mast progenitor cell"	"Human"	1	"CL:0002028"	"adenylate cyclase activating polypeptide 1 "	"CD34 POS EO B MAST"	NA	NA	NA	NA	NA
"ADD2"	"erythroid lineage cell"	"Human"	2	"CL:0000764"	"adducin 2 "	"ERYTHROBLAST"	NA	NA	NA	"Late Erythroid"	NA
"ADD3"	"naive T cell"	"Human"	1	"CL:0000898"	"adducin 3 "	"NAIVE T CELL"	NA	NA	NA	NA	NA
"ADGRE1"	"dendritic cell"	"Human"	1	"CL:0000451"	"adhesion G protein-coupled receptor E1 "	NA	"Dendritic cells"	NA	NA	NA	NA
"ADGRE1"	"macrophage"	"Human"	1	"CL:0000235"	"adhesion G protein-coupled receptor E1 "	NA	"Macrophages"	NA	NA	NA	NA
"ADGRE1"	"monocyte"	"Human"	2	"CL:0000576"	"adhesion G protein-coupled receptor E1 "	"MONOCYTE"	"Monocytes"	NA	NA	NA	NA
"ADGRE1"	"myeloid suppressor cell"	"Human"	1	"CL:0000889"	"adhesion G protein-coupled receptor E1 "	NA	"Myeloid-derived suppressor cells"	NA	NA	NA	NA
"ADGRE1"	"splenic red pulp macrophage"	"Human"	1	"CL:0000874"	"adhesion G protein-coupled receptor E1 "	NA	"Red pulp macrophages"	NA	NA	NA	NA
"ADGRE2"	"monocyte"	"Human"	1	"CL:0000576"	"adhesion G protein-coupled receptor E2 "	"MONOCYTE"	NA	NA	NA	NA	NA
"ADGRE5"	"macrophage"	"Human"	1	"CL:0000235"	"adhesion G protein-coupled receptor E5 "	NA	"Macrophages"	NA	NA	NA	NA
"ADGRE5"	"natural killer cell"	"Human"	1	"CL:0000623"	"adhesion G protein-coupled receptor E5 "	"NK CELLS"	NA	NA	NA	NA	NA
"ADGRE5"	"platelet"	"Human"	1	"CL:0000233"	"adhesion G protein-coupled receptor E5 "	NA	"Platelets"	NA	NA	NA	NA
"ADGRG1"	"gamma-delta T cell"	"Human"	1	"CL:0000798"	"adhesion G protein-coupled receptor G1 "	NA	"Gamma delta T cells"	NA	NA	NA	NA
"ADGRG1"	"hematopoietic stem cell"	"Human"	1	"CL:0000037"	"adhesion G protein-coupled receptor G1 "	NA	"Hematopoietic stem cells"	NA	NA	NA	NA
"ADGRG1"	"natural killer cell"	"Human"	1	"CL:0000623"	"adhesion G protein-coupled receptor G1 "	"NK CELLS"	NA	NA	NA	NA	NA
"ADGRG3"	"neutrophil"	"Human"	1	"CL:0000775"	"adhesion G protein-coupled receptor G3 "	NA	NA	NA	"neutrophil"	NA	NA
"ADGRG5"	"dendritic cell"	"Human"	2	"CL:0000451"	"adhesion G protein-coupled receptor G5 "	NA	"Dendritic cells"	NA	"dendritic cell"	NA	NA
"ADGRG5"	"natural killer cell"	"Human"	1	"CL:0000623"	"adhesion G protein-coupled receptor G5 "	"NK CELLS"	NA	NA	NA	NA	NA
"ADGRG6"	"hematopoietic lineage restricted progenitor cell"	"Human"	1	"CL:0002031"	"adhesion G protein-coupled receptor G6 "	"CD34 POS HSC"	NA	NA	NA	NA	NA
"ADGRG7"	"platelet"	"Human"	1	"CL:0000233"	"adhesion G protein-coupled receptor G7 "	"PLATELET"	NA	NA	NA	NA	NA
"ADIPOR1"	"erythroid lineage cell"	"Human"	1	"CL:0000764"	"adiponectin receptor 1 "	NA	NA	NA	NA	NA	"erythroid"
"ADORA3"	"mast cell"	"Human"	1	"CL:0000097"	"adenosine A3 receptor "	NA	"Mast cells"	NA	NA	NA	NA
"ADPGK"	"neutrophil"	"Human"	2	"CL:0000775"	"ADP dependent glucokinase "	NA	"Neutrophils"	NA	"neutrophil"	NA	NA
"ADPRM"	"plasmacytoid dendritic cell"	"Human"	1	"CL:0000784"	"ADP-ribose/CDP-alcohol diphosphatase, manganese dependent "	"CD34 POS PRE PC"	NA	NA	NA	NA	NA
"ADRA2A"	"megakaryocyte progenitor cell"	"Human"	1	"CL:0000553"	"adrenoceptor alpha 2A "	"CD34 POS MKP"	NA	NA	NA	NA	NA
"ADRB2"	"natural killer cell"	"Human"	1	"CL:0000623"	"adrenoceptor beta 2 "	"NK CELLS"	NA	NA	NA	NA	NA
"ADSL"	"erythroid lineage cell"	"Human"	1	"CL:0000764"	"adenylosuccinate lyase "	"ERYTHROBLAST"	NA	NA	NA	NA	NA
"ADTRP"	"naive T cell"	"Human"	1	"CL:0000898"	"androgen dependent TFPI regulating protein "	"NAIVE T CELL"	NA	NA	NA	NA	NA
"AEBP1"	"precursor B cell"	"Human"	1	"CL:0000817"	"AE binding protein 1 "	"CD34 POS PRE B"	NA	NA	NA	NA	NA
"AFAP1"	"platelet"	"Human"	1	"CL:0000233"	"actin filament associated protein 1 "	"PLATELET"	NA	NA	NA	NA	NA
"AFAP1-AS1"	"platelet"	"Human"	1	"CL:0000233"	"AFAP1 antisense RNA 1 "	"PLATELET"	NA	NA	NA	NA	NA
"AFAP1L2"	"platelet"	"Human"	1	"CL:0000233"	"actin filament associated protein 1 like 2 "	"PLATELET"	NA	NA	NA	NA	NA
"AFF1"	"common lymphoid progenitor"	"Human"	1	"CL:0000051"	"AF4/FMR2 family member 1 "	"MULTILYMPHOID PROGENITOR"	NA	NA	NA	NA	NA
"AFF3"	"CD1c-positive myeloid dendritic cell"	"Human"	1	"CL:0002399"	"AF4/FMR2 family member 3 "	NA	NA	NA	NA	"Conventional Dendritic Cell 2"	NA
"AFF3"	"precursor B cell"	"Human"	1	"CL:0000817"	"AF4/FMR2 family member 3 "	"CD34 POS PRE B"	NA	NA	NA	NA	NA
"AFG3L2"	"erythroid lineage cell"	"Human"	1	"CL:0000764"	"AFG3 like matrix AAA peptidase subunit 2 "	"ERYTHROBLAST"	NA	NA	NA	NA	NA
"AGFG1"	"neutrophil"	"Human"	1	"CL:0000775"	"ArfGAP with FG repeats 1 "	"NEUTROPHIL"	NA	NA	NA	NA	NA
"AGFG2"	"erythroid lineage cell"	"Human"	1	"CL:0000764"	"ArfGAP with FG repeats 2 "	"ERYTHROBLAST"	NA	NA	NA	NA	NA
"AGK"	"natural killer cell"	"Human"	1	"CL:0000623"	"acylglycerol kinase "	"NK CELLS"	NA	NA	NA	NA	NA
"AGPAT1"	"platelet"	"Human"	1	"CL:0000233"	"1-acylglycerol-3-phosphate O-acyltransferase 1 "	NA	"Platelets"	NA	NA	NA	NA
"AGPAT5"	"erythroid lineage cell"	"Human"	1	"CL:0000764"	"1-acylglycerol-3-phosphate O-acyltransferase 5 "	"ERYTHROBLAST"	NA	NA	NA	NA	NA
"AGPS"	"common lymphoid progenitor"	"Human"	1	"CL:0000051"	"alkylglycerone phosphate synthase "	"CD34 POS CLP"	NA	NA	NA	NA	NA
"AGPS"	"pro-B cell"	"Human"	1	"CL:0000826"	"alkylglycerone phosphate synthase "	NA	NA	NA	NA	"Progenitor B"	NA
"AGTPBP1"	"neutrophil"	"Human"	1	"CL:0000775"	"ATP/GTP binding carboxypeptidase 1 "	"NEUTROPHIL"	NA	NA	NA	NA	NA
"AGTRAP"	"dendritic cell, human"	"Human"	1	"CL:0001056"	"angiotensin II receptor associated protein "	NA	NA	"CD1C-CD141- dendritic cell"	NA	NA	NA
"AGTRAP"	"neutrophil"	"Human"	1	"CL:0000775"	"angiotensin II receptor associated protein "	"NEUTROPHIL"	NA	NA	NA	NA	NA
"AHCTF1"	"platelet"	"Human"	1	"CL:0000233"	"AT-hook containing transcription factor 1 "	"PLATELET"	NA	NA	NA	NA	NA
"AHCY"	"dendritic cell, human"	"Human"	1	"CL:0001056"	"adenosylhomocysteinase "	NA	NA	"AXL+SIGLEC6+ dendritic cell"	NA	NA	NA
"AHCY"	"erythroid lineage cell"	"Human"	1	"CL:0000764"	"adenosylhomocysteinase "	"EARLY ERYTHROBLAST"	NA	NA	NA	NA	NA
