"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"MT-ATP6"	0	-0.929989483889252	0.366	0.666	0	"0"	"MT-ATP6"
"GSTP1"	0	-0.995900133731142	0.203	0.427	0	"0"	"GSTP1"
"PPP1R15A"	0	-1.00690435973137	0.094	0.331	0	"0"	"PPP1R15A"
"MT-ND3"	0	-1.01012240538966	0.084	0.299	0	"0"	"MT-ND3"
"CYBA"	0	-1.01054903063639	0.554	0.831	0	"0"	"CYBA"
"FOS"	0	-1.0148035632424	0.226	0.494	0	"0"	"FOS"
"CLIC1"	0	-1.04714677186783	0.222	0.524	0	"0"	"CLIC1"
"DUSP1"	0	-1.1662233095333	0.281	0.624	0	"0"	"DUSP1"
"CD63"	0	-1.19891476529355	0.051	0.283	0	"0"	"CD63"
"KLF6"	0	-1.28026902819505	0.098	0.368	0	"0"	"KLF6"
"CTSW"	0	-1.51890596418147	0.069	0.325	0	"0"	"CTSW"
"S100A4"	0	-1.90786934711416	0.302	0.695	0	"0"	"S100A4"
"HLA-DRB5"	0	-2.42586785810198	0.004	0.266	0	"0"	"HLA-DRB5"
"HLA-DPA1"	0	-2.56737565538613	0.012	0.283	0	"0"	"HLA-DPA1"
"HLA-DPB1"	0	-2.84788145047814	0.014	0.32	0	"0"	"HLA-DPB1"
"CD74"	0	-3.19366814167363	0.231	0.546	0	"0"	"CD74"
"HLA-DRB1"	0	-3.2512636882145	0.007	0.324	0	"0"	"HLA-DRB1"
"HLA-DRA"	0	-3.67917324715045	0.003	0.285	0	"0"	"HLA-DRA"
"UQCR11.1"	1.01980594923083e-307	-0.542530108926549	0.335	0.571	3.33864071659189e-303	"0"	"UQCR11.1"
"SEC61B"	5.9094767818538e-305	-0.595098375178487	0.115	0.294	1.9346445088433e-300	"0"	"SEC61B"
"COX6B1"	1.47677446993239e-297	-0.525132668501548	0.314	0.536	4.83466425966465e-293	"0"	"COX6B1"
"GPSM3"	1.89765371219972e-294	0.570988904305059	0.65	0.584	6.21253872299945e-290	"0"	"GPSM3"
"UQCRB"	1.02551683579355e-288	-0.649424613358648	0.108	0.272	3.35733701702093e-284	"0"	"UQCRB"
"MYEOV2"	4.36662481203779e-281	-0.543797431255947	0.118	0.29	1.42954563096493e-276	"0"	"MYEOV2"
"CD7"	1.69076590600586e-279	0.521634310710396	0.565	0.417	5.53522942308198e-275	"0"	"CD7"
"LAT"	1.93784752443467e-277	0.715133243532349	0.373	0.246	6.34412522549423e-273	"0"	"LAT"
"ATP5L"	3.274221593771e-276	-0.457948240172352	0.516	0.706	1.07191466536875e-271	"0"	"ATP5L"
"NPM1"	3.47691971677998e-273	0.402398041345591	0.824	0.766	1.13827397687943e-268	"0"	"NPM1"
"GPX1"	1.08145692659031e-270	-0.884585766379676	0.203	0.375	3.54047368627136e-266	"0"	"GPX1"
"LIMD2"	1.4139650318733e-268	0.511449637201453	0.689	0.646	4.6290387213468e-264	"0"	"LIMD2"
"RPL23"	7.67634283193376e-265	-0.398554662525183	0.652	0.802	2.51308111631848e-260	"0"	"RPL23"
"RPL39"	7.28008179202096e-262	-0.567301244506509	0.15	0.323	2.38335317707182e-257	"0"	"RPL39"
"TMEM258"	3.69794186717381e-261	-0.486162131964473	0.173	0.361	1.21063220847536e-256	"0"	"TMEM258"
"ATP5J2"	8.93574203088249e-260	-0.498536384254371	0.144	0.32	2.92538322607031e-255	"0"	"ATP5J2"
"TRAF3IP3"	1.27983897045366e-259	0.644227052778252	0.497	0.394	4.18993682147118e-255	"0"	"TRAF3IP3"
"NDUFB2"	3.60117096273619e-256	-0.522464404062269	0.17	0.352	1.17895134978058e-251	"0"	"NDUFB2"
"S100A10"	6.01870796666844e-254	-0.687944389776437	0.307	0.486	1.97040461412792e-249	"0"	"S100A10"
"SAT1"	2.24002224124315e-250	-0.774886542954031	0.131	0.288	7.33338481338182e-246	"0"	"SAT1"
"GYPC"	2.07504202596904e-244	0.603120235593811	0.563	0.495	6.79327258461744e-240	"0"	"GYPC"
"ARHGDIB"	1.6963999286928e-241	0.317944297951194	0.893	0.88	5.5536740865545e-237	"0"	"ARHGDIB"
"LSM7"	2.70359201933422e-241	-0.494172533785687	0.184	0.363	8.85101955289638e-237	"0"	"LSM7"
"DBI"	4.18819693127891e-239	-0.540670190229483	0.118	0.271	1.37113191136209e-234	"0"	"DBI"
"UQCRH"	2.65531893920888e-234	-0.474061948953318	0.312	0.505	8.69298314318205e-230	"0"	"UQCRH"
"CNBP"	1.85676839993483e-232	0.586162803510193	0.56	0.501	6.07868838770663e-228	"0"	"CNBP"
"EVL"	9.93688846151438e-232	0.571845725567604	0.548	0.459	3.25313854453058e-227	"0"	"EVL"
"NDUFB7"	4.78052332429582e-231	-0.457327956590525	0.12	0.274	1.56504772590797e-226	"0"	"NDUFB7"
"S100A6"	1.34082079464285e-228	-0.694941497788768	0.497	0.67	4.38957911750175e-224	"0"	"S100A6"
"OST4"	1.63606547819744e-228	-0.41714222358058	0.353	0.568	5.35615116252279e-224	"0"	"OST4"
"TAGLN2"	4.88263401032705e-226	-0.470681395538691	0.309	0.503	1.59847672230087e-221	"0"	"TAGLN2"
"HNRNPA1"	9.25552017931641e-222	0.359139343565725	0.83	0.806	3.03007219630461e-217	"0"	"HNRNPA1"
"MYL6"	2.14455098566194e-220	-0.442587157184696	0.557	0.743	7.02083101686007e-216	"0"	"MYL6"
"EIF3L"	1.62767475142501e-218	0.56184374753551	0.572	0.515	5.32868160121519e-214	"0"	"EIF3L"
"MT-CO3"	5.22368472709528e-217	-0.268781708237515	0.911	0.962	1.71012990595645e-212	"0"	"MT-CO3"
"ARPC3"	1.98284447452411e-216	-0.429512403863937	0.466	0.663	6.49143624069704e-212	"0"	"ARPC3"
"COX7A2"	6.59093599278036e-214	-0.420378919358882	0.212	0.394	2.15774062531643e-209	"0"	"COX7A2"
"NACA"	6.27316947689264e-210	0.26414596077808	0.959	0.945	2.05371022334511e-205	"0"	"NACA"
"IL32"	3.27770802681989e-208	-0.949922981734226	0.361	0.48	1.0730560538203e-203	"0"	"IL32"
"HSPA8"	9.79720119145178e-208	0.528268892274961	0.588	0.534	3.20740772605748e-203	"0"	"HSPA8"
"TBCA"	2.553546233095e-207	-0.404125214800022	0.147	0.304	8.35979965790641e-203	"0"	"TBCA"
"COX8A"	1.01848644744849e-206	-0.422921314738268	0.165	0.327	3.33432093165686e-202	"0"	"COX8A"
"ANXA1"	5.10124933386605e-205	-0.579872869116232	0.171	0.321	1.67004700692107e-200	"0"	"ANXA1"
"RPL36AL"	1.74562217717704e-203	-0.339500065656726	0.635	0.798	5.71481788364218e-199	"0"	"RPL36AL"
"TXNIP"	1.67330402467324e-201	0.5370802897586	0.586	0.524	5.47806271597526e-197	"0"	"TXNIP"
"RGS10"	3.53127389655992e-200	0.677744760166344	0.378	0.283	1.15606844825579e-195	"0"	"RGS10"
"RPL22"	1.50424881802985e-198	0.352129721087663	0.798	0.791	4.92460978046613e-194	"0"	"RPL22"
"COX6C"	3.56905440292322e-194	-0.37746146215149	0.26	0.446	1.16843703042901e-189	"0"	"COX6C"
"CORO1A"	4.93298618654049e-194	0.37744218034698	0.765	0.734	1.61496101774963e-189	"0"	"CORO1A"
"RBM39"	2.49549327617594e-192	-0.413532278633714	0.141	0.286	8.16974588754478e-188	"0"	"RBM39"
"COX5A"	2.84664172813155e-192	-0.390626956712425	0.164	0.321	9.31933568955707e-188	"0"	"COX5A"
"COX6A1"	5.31950185077918e-192	-0.380705762484214	0.245	0.427	1.74149851590809e-187	"0"	"COX6A1"
"HSP90AA1"	3.91573221953031e-190	-0.39788572435895	0.346	0.534	1.28193241402983e-185	"0"	"HSP90AA1"
"UQCRQ"	1.05030290360479e-189	-0.400634454825619	0.162	0.316	3.43848164582136e-185	"0"	"UQCRQ"
"ARPC1B"	2.80901468538882e-187	-0.42239448155893	0.389	0.581	9.19615227702591e-183	"0"	"ARPC1B"
