"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"UPF3B"	0	0.344477034228571	0.292	0.047	0	"6"	"UPF3B"
"MRPL15"	0	0.343424432168612	0.262	0.037	0	"6"	"MRPL15"
"EPRS"	0	0.342923634935223	0.292	0.047	0	"6"	"EPRS"
"HSPA5.1"	0	0.341106573096522	0.529	0.162	0	"6"	"HSPA5"
"COX16"	0	0.340998092698371	0.514	0.13	0	"6"	"COX16"
"CNIH1"	0	0.340928540201058	0.402	0.087	0	"6"	"CNIH1"
"VDAC2"	0	0.339172418076568	0.65	0.197	0	"6"	"VDAC2"
"ILF3"	0	0.338570333095657	0.33	0.063	0	"6"	"ILF3"
"CHCHD1"	0	0.338476265425085	0.3	0.051	0	"6"	"CHCHD1"
"ATXN10"	0	0.336441544110905	0.39	0.079	0	"6"	"ATXN10"
"NDUFAB1"	0	0.336403829828594	0.494	0.122	0	"6"	"NDUFAB1"
"CXXC5.1"	0	0.335560555281439	0.361	0.07	0	"6"	"CXXC5"
"OARD1"	0	0.33464610232407	0.321	0.057	0	"6"	"OARD1"
"LYSMD2"	0	0.333216823830332	0.341	0.067	0	"6"	"LYSMD2"
"RPL5.2"	0	0.332329835014321	0.999	0.972	0	"6"	"RPL5"
"THRAP3"	0	0.332172182107932	0.474	0.113	0	"6"	"THRAP3"
"SDCCAG8"	0	0.332142499606223	0.255	0.039	0	"6"	"SDCCAG8"
"ZNRD1"	0	0.332077337042891	0.371	0.074	0	"6"	"ZNRD1"
"LYPLA1"	0	0.332022934179493	0.346	0.067	0	"6"	"LYPLA1"
"TPR"	0	0.329444866238276	0.489	0.12	0	"6"	"TPR"
"NONO"	0	0.329138846351484	0.425	0.098	0	"6"	"NONO"
"TUBA1B.5"	0	0.329093230050842	0.742	0.292	0	"6"	"TUBA1B"
"DENR"	0	0.328166608515749	0.385	0.084	0	"6"	"DENR"
"U2SURP"	0	0.327807471338739	0.38	0.079	0	"6"	"U2SURP"
"DNAJC1"	0	0.32708200537596	0.351	0.07	0	"6"	"DNAJC1"
"SFPQ"	0	0.325579199041175	0.43	0.101	0	"6"	"SFPQ"
"ZFAND1"	0	0.324580160677192	0.394	0.084	0	"6"	"ZFAND1"
"HMG20B"	0	0.324529648971204	0.328	0.062	0	"6"	"HMG20B"
"ZC3H15"	0	0.324504286643798	0.493	0.128	0	"6"	"ZC3H15"
"NDUFA1.4"	0	0.32355134441234	0.789	0.296	0	"6"	"NDUFA1"
"NDUFS6.1"	0	0.323322968902352	0.587	0.172	0	"6"	"NDUFS6"
"KPNB1"	0	0.323288662982721	0.341	0.066	0	"6"	"KPNB1"
"ISOC2"	0	0.322911730812259	0.283	0.05	0	"6"	"ISOC2"
"CUEDC2"	0	0.322824186613419	0.404	0.088	0	"6"	"CUEDC2"
"DNAJC9"	0	0.322216053254018	0.305	0.058	0	"6"	"DNAJC9"
"AKAP9"	0	0.322188685987095	0.396	0.087	0	"6"	"AKAP9"
"MAPKAPK3"	0	0.321804686617775	0.254	0.039	0	"6"	"MAPKAPK3"
"IGBP1"	0	0.321518984534334	0.65	0.202	0	"6"	"IGBP1"
"AK3"	0	0.318964158337489	0.253	0.037	0	"6"	"AK3"
"MZT2A.4"	0	0.318532017483182	0.752	0.278	0	"6"	"MZT2A"
"VKORC1"	0	0.318311551722805	0.413	0.091	0	"6"	"VKORC1"
"NUCKS1.1"	0	0.318155855891234	0.546	0.152	0	"6"	"NUCKS1"
"MRPL32"	0	0.317664410086323	0.364	0.071	0	"6"	"MRPL32"
"RPS12.4"	0	0.317429675866784	1	0.996	0	"6"	"RPS12"
"FKBP1A.1"	0	0.317184526341386	0.691	0.233	0	"6"	"FKBP1A"
"NRD1"	0	0.315911918866967	0.28	0.049	0	"6"	"NRD1"
"RPL30.2"	0	0.315425577119566	1	0.982	0	"6"	"RPL30"
"ZNF581"	0	0.314542272207605	0.395	0.087	0	"6"	"ZNF581"
"IP6K2"	0	0.313770989938349	0.294	0.054	0	"6"	"IP6K2"
"YTHDC1"	0	0.313534303605992	0.315	0.065	0	"6"	"YTHDC1"
"CHCHD5"	0	0.313382418388361	0.412	0.101	0	"6"	"CHCHD5"
"MTDH"	0	0.313062759265633	0.646	0.206	0	"6"	"MTDH"
"HADH"	0	0.311369637628957	0.253	0.041	0	"6"	"HADH"
"HP1BP3"	0	0.311062012479584	0.415	0.1	0	"6"	"HP1BP3"
"ADSL"	0	0.3108412619962	0.386	0.08	0	"6"	"ADSL"
"SSR3"	0	0.310712034797514	0.383	0.088	0	"6"	"SSR3"
"SDCBP"	0	0.30867972177578	0.345	0.071	0	"6"	"SDCBP"
"H2AFZ.3"	0	0.308678896570773	0.708	0.249	0	"6"	"H2AFZ"
"MRPL12"	0	0.308604689979131	0.345	0.071	0	"6"	"MRPL12"
"OAZ2"	0	0.307640869780749	0.302	0.057	0	"6"	"OAZ2"
"HEBP2"	0	0.307028895169554	0.282	0.049	0	"6"	"HEBP2"
"TMEM126A"	0	0.306544925171175	0.345	0.068	0	"6"	"TMEM126A"
"PRPF4B"	0	0.305520357795302	0.302	0.056	0	"6"	"PRPF4B"
"TFAM"	0	0.305103256286526	0.251	0.04	0	"6"	"TFAM"
"MRFAP1"	0	0.303966186610336	0.529	0.138	0	"6"	"MRFAP1"
"MRPS18C"	0	0.30363897273015	0.34	0.068	0	"6"	"MRPS18C"
"GTF2H5"	0	0.301611341119279	0.26	0.045	0	"6"	"GTF2H5"
"NSA2"	0	0.3013336726731	0.578	0.168	0	"6"	"NSA2"
"TCEAL8"	0	0.301063192420052	0.374	0.079	0	"6"	"TCEAL8"
"RPS15A.3"	0	0.300746215784589	1	0.991	0	"6"	"RPS15A"
"RILPL2"	0	0.300549040012635	0.342	0.066	0	"6"	"RILPL2"
"RNF181.1"	0	0.299415946911023	0.527	0.144	0	"6"	"RNF181"
"ATP5G1"	0	0.297733018933231	0.556	0.175	0	"6"	"ATP5G1"
"TMEM205"	0	0.297588415347003	0.34	0.066	0	"6"	"TMEM205"
"TPGS2"	0	0.296769244311145	0.271	0.048	0	"6"	"TPGS2"
"DDX46.1"	0	0.296676072935292	0.531	0.144	0	"6"	"DDX46"
"METTL5"	0	0.296602000264011	0.421	0.095	0	"6"	"METTL5"
"KIF2A"	0	0.295927656968201	0.304	0.062	0	"6"	"KIF2A"
"UPF2"	0	0.295726659281125	0.301	0.062	0	"6"	"UPF2"
"CDC5L"	0	0.295549123758497	0.268	0.045	0	"6"	"CDC5L"
"C1QBP.2"	0	0.295192021754934	0.704	0.25	0	"6"	"C1QBP"
"DNAJC2"	0	0.295188427623022	0.312	0.06	0	"6"	"DNAJC2"
"SPATC1L"	0	0.295164148300012	0.261	0.044	0	"6"	"SPATC1L"
"VPS36"	0	0.294666236681929	0.251	0.042	0	"6"	"VPS36"
"POLR2I"	0	0.294552987645572	0.51	0.138	0	"6"	"POLR2I"
"NOA1"	0	0.294485953540828	0.266	0.045	0	"6"	"NOA1"
"ROMO1"	0	0.293516771384507	0.416	0.1	0	"6"	"ROMO1"
"CWC15"	0	0.290189079728963	0.468	0.119	0	"6"	"CWC15"
"COA4"	0	0.289900465039197	0.36	0.077	0	"6"	"COA4"
"NUDT1"	0	0.28837660903847	0.37	0.086	0	"6"	"NUDT1"
"NDUFB3"	0	0.288327684562093	0.458	0.117	0	"6"	"NDUFB3"
"PSMG2"	0	0.28813197271862	0.371	0.081	0	"6"	"PSMG2"
"HSPB1.3"	0	0.287454230472058	0.671	0.237	0	"6"	"HSPB1"
"CEP57"	0	0.286942481154437	0.31	0.062	0	"6"	"CEP57"
"SRP9"	0	0.28424302597497	0.605	0.179	0	"6"	"SRP9"
"THOC2"	0	0.284101063193759	0.257	0.046	0	"6"	"THOC2"
"UPF3A"	0	0.283498471397322	0.299	0.061	0	"6"	"UPF3A"
"DNAJC15"	0	0.283234868492995	0.43	0.104	0	"6"	"DNAJC15"
"ZNF428"	0	0.282315397150828	0.546	0.152	0	"6"	"ZNF428"
"HIST2H2AC"	0	0.281125915874331	0.288	0.06	0	"6"	"HIST2H2AC"
"DNAJC19"	0	0.280927616090827	0.48	0.123	0	"6"	"DNAJC19"
"SNRPC"	0	0.278527389967837	0.614	0.188	0	"6"	"SNRPC"
"NOTCH2NL"	0	0.277980197981577	0.268	0.049	0	"6"	"NOTCH2NL"
"ROCK1"	0	0.276641695923339	0.309	0.064	0	"6"	"ROCK1"
"H1FX.3"	0	0.27650442161262	0.64	0.225	0	"6"	"H1FX"
"EBNA1BP2"	0	0.276420822676073	0.299	0.062	0	"6"	"EBNA1BP2"
"IFITM3.1"	0	0.275994917835427	0.365	0.092	0	"6"	"IFITM3"
"SMS"	0	0.274873117983096	0.357	0.075	0	"6"	"SMS"
"PSMC6"	0	0.274608246306591	0.271	0.048	0	"6"	"PSMC6"
"GBAS"	0	0.274413210287814	0.261	0.044	0	"6"	"GBAS"
"ABRACL"	0	0.272939494868355	0.6	0.183	0	"6"	"ABRACL"
"NDUFS3"	0	0.272042971995493	0.441	0.112	0	"6"	"NDUFS3"
"ALKBH7.2"	0	0.271457646118948	0.69	0.241	0	"6"	"ALKBH7"
"PDCD6"	0	0.27064063271598	0.565	0.161	0	"6"	"PDCD6"
"COMMD7"	0	0.270411134373706	0.481	0.127	0	"6"	"COMMD7"
"MED28"	0	0.268745564584893	0.349	0.073	0	"6"	"MED28"
"GMPR2"	0	0.268499900424766	0.314	0.066	0	"6"	"GMPR2"
"COMMD4"	0	0.265158298974728	0.26	0.05	0	"6"	"COMMD4"
"ENSA.1"	0	0.264913859311724	0.647	0.215	0	"6"	"ENSA"
"CAMTA1"	0	0.264752850051614	0.335	0.072	0	"6"	"CAMTA1"
"PAK2"	0	0.264535209298701	0.331	0.072	0	"6"	"PAK2"
"ING4"	0	0.264235608156449	0.383	0.086	0	"6"	"ING4"
"PSIP1"	0	0.262873335082844	0.505	0.138	0	"6"	"PSIP1"
"ZNHIT1"	0	0.262324206448739	0.608	0.187	0	"6"	"ZNHIT1"
"WSB1"	0	0.262089642078306	0.313	0.066	0	"6"	"WSB1"
"DCTPP1"	0	0.260690681677823	0.338	0.076	0	"6"	"DCTPP1"
"SCRN2"	0	0.260461935670456	0.263	0.048	0	"6"	"SCRN2"
"RBM39.5"	0	0.259981164431478	0.68	0.233	0	"6"	"RBM39"
"CCDC104"	0	0.259510681498682	0.347	0.074	0	"6"	"CCDC104"
"MCTS1"	0	0.259012646280018	0.292	0.059	0	"6"	"MCTS1"
"CALR.1"	0	0.258010307306829	0.532	0.163	0	"6"	"CALR"
"RNASEH2C"	0	0.2578095862389	0.508	0.14	0	"6"	"RNASEH2C"
"VAPA"	0	0.2569005666618	0.577	0.174	0	"6"	"VAPA"
"COX20"	0	0.256294206024009	0.307	0.066	0	"6"	"COX20"
"UBXN4"	0	0.256004219460818	0.373	0.091	0	"6"	"UBXN4"
"SNRPD3"	0	0.255990588811877	0.494	0.137	0	"6"	"SNRPD3"
"SYF2"	0	0.255753867565575	0.709	0.253	0	"6"	"SYF2"
"SRSF9.1"	0	0.255196361359942	0.563	0.171	0	"6"	"SRSF9"
"MRPL1"	0	0.25368517357385	0.272	0.051	0	"6"	"MRPL1"
"MATR3"	0	0.25354406633617	0.452	0.115	0	"6"	"MATR3"
"C19orf70"	0	0.253176719392829	0.609	0.194	0	"6"	"C19orf70"
"PDCD5"	0	0.252231591426867	0.44	0.121	0	"6"	"PDCD5"
"MRPL37"	0	0.250096994550194	0.291	0.059	0	"6"	"MRPL37"
"RPL13A.2"	0	-0.356619303973899	1	1	0	"6"	"RPL13A"
"RPS27.5"	0	-0.365470076226434	1	0.998	0	"6"	"RPS27"
"RPL21.3"	0	-0.417073626157852	0.999	0.996	0	"6"	"RPL21"
"RPL13.3"	0	-0.55706902925789	1	1	0	"6"	"RPL13"
"MALAT1.4"	0	-0.600490818292415	1	0.998	0	"6"	"MALAT1"
"RPL10.2"	0	-0.614286481687063	1	1	0	"6"	"RPL10"
"CD74.6"	0	-0.616348613855876	0.93	0.457	0	"6"	"CD74"
"HLA-DRB1.6"	0	-0.879678102639618	0.71	0.235	0	"6"	"HLA-DRB1"
"CFL1.4"	0	-0.955931268093279	0.967	0.88	0	"6"	"CFL1"
"SH3BGRL3.6"	0	-1.05794409403839	0.931	0.821	0	"6"	"SH3BGRL3"
"UBC.2"	0	-1.15300142594622	0.898	0.818	0	"6"	"UBC"
"DDX5.4"	0	-1.15838408121759	0.854	0.752	0	"6"	"DDX5"
"EEF1D.2"	0	-1.22026883137779	0.989	0.966	0	"6"	"EEF1D"
"CYBA.5"	0	-1.27057451839995	0.875	0.769	0	"6"	"CYBA"
"TMSB10.2"	0	-1.32871959135441	0.999	0.996	0	"6"	"TMSB10"
"PFN1.4"	0	-1.344649534863	0.975	0.937	0	"6"	"PFN1"
"HLA-E.4"	0	-1.40682468095171	0.79	0.755	0	"6"	"HLA-E"
"EEF1A1.3"	0	-1.45219804317845	0.992	0.984	0	"6"	"EEF1A1"
"HLA-A.4"	0	-1.5672261596101	0.986	0.979	0	"6"	"HLA-A"
"MYL12A.3"	0	-1.66346625347773	0.73	0.734	0	"6"	"MYL12A"
"ACTB.4"	0	-1.70825039360288	0.982	0.977	0	"6"	"ACTB"
"PTPRCAP.4"	0	-1.79735301083513	0.629	0.71	0	"6"	"PTPRCAP"
"IER2.6"	0	-1.97258560477348	0.513	0.638	0	"6"	"IER2"
"CALM1.4"	0	-1.99560831324127	0.376	0.564	0	"6"	"CALM1"
"ISG20.3"	0	-2.01613622276236	0.095	0.397	0	"6"	"ISG20"
"B2M.4"	0	-2.07519565900949	0.995	0.998	0	"6"	"B2M"
"EVL.3"	0	-2.10646869834182	0.197	0.493	0	"6"	"EVL"
"IFITM1.3"	0	-2.11117587491689	0.016	0.352	0	"6"	"IFITM1"
"CD52.5"	0	-2.14392807979454	0.649	0.815	0	"6"	"CD52"
"TMSB4X.3"	0	-2.20384634828393	0.997	0.999	0	"6"	"TMSB4X"
"HLA-B.3"	0	-2.20781900639139	0.972	0.992	0	"6"	"HLA-B"
"LCK.3"	0	-2.25766995837623	0.009	0.389	0	"6"	"LCK"
"CD27.5"	0	-2.32124614413119	0.002	0.374	0	"6"	"CD27"
"CD48.1"	0	-2.34015646114658	0.041	0.453	0	"6"	"CD48"
"CORO1A.3"	0	-2.40460513840372	0.45	0.757	0	"6"	"CORO1A"
"GIMAP7.3"	0	-2.4585293055855	0.103	0.473	0	"6"	"GIMAP7"
"CD7.6"	0	-2.470071282101	0.13	0.465	0	"6"	"CD7"
"HLA-C.4"	0	-2.49636072094395	0.878	0.967	0	"6"	"HLA-C"
"BTG1.2"	0	-2.58400970362844	0.548	0.801	0	"6"	"BTG1"
"CD3E.5"	0	-3.10676497158244	0.011	0.555	0	"6"	"CD3E"
"CD3D.6"	0	-3.20539292269561	0.002	0.554	0	"6"	"CD3D"
"JUNB.5"	0	-3.49046994658677	0.385	0.821	0	"6"	"JUNB"
"IL32.6"	0	-3.66918065502092	0.002	0.482	0	"6"	"IL32"
"LTB.6"	0	-3.965118953926	0.143	0.795	0	"6"	"LTB"
"AES.3"	2.266128817085e-306	-1.87039895330173	0.395	0.549	7.41885252137288e-302	"6"	"AES"
"CALM2.3"	7.04085845436836e-306	0.342615187786556	0.821	0.336	2.30503624079111e-301	"6"	"CALM2"
"ST13.4"	9.12295296197727e-305	0.372976157977984	0.868	0.363	2.98667234069212e-300	"6"	"ST13"
"ATP6V1F"	1.82237678377341e-301	0.259237426959162	0.77	0.296	5.96609711471737e-297	"6"	"ATP6V1F"
"CXCR4.3"	2.60582962591467e-298	-2.04067841634782	0.043	0.341	8.53096502931946e-294	"6"	"CXCR4"
"COX6C.5"	3.10046623736329e-297	0.415687124671886	0.889	0.382	1.015030636788e-292	"6"	"COX6C"
"GZMM.5"	4.2333068359924e-295	-1.96585619705234	0.001	0.297	1.38589999196719e-290	"6"	"GZMM"
"NDUFA11.1"	1.66365003281383e-293	0.375680102452097	0.851	0.355	5.44645747742591e-289	"6"	"NDUFA11"
"ATP5O.1"	1.09669071673333e-291	0.456214411624242	0.921	0.428	3.59034606844158e-287	"6"	"ATP5O"
"MT-ND2.2"	2.15036428658164e-290	0.452555385744376	0.996	0.789	7.03986260141096e-286	"6"	"MT-ND2"
"EIF3L.4"	7.14652021826423e-290	0.493434473184952	0.94	0.503	2.33962778905535e-285	"6"	"EIF3L"
"S100A10.5"	1.7195524401641e-289	-1.86548394792175	0.204	0.464	5.62947077860922e-285	"6"	"S100A10"
"RPS28.6"	3.49409877987832e-282	0.3401710684101	1	0.974	1.14389805855657e-277	"6"	"RPS28"
"SKP1.2"	4.50753751785943e-281	0.375317165852803	0.858	0.369	1.47567763259682e-276	"6"	"SKP1"
"SERP1.1"	5.97591371042432e-280	0.366790044910307	0.892	0.389	1.95639463051872e-275	"6"	"SERP1"
"RBM3.1"	7.09542243832876e-273	0.421164699320339	0.888	0.411	2.32289939786007e-268	"6"	"RBM3"
"RPL17.1"	5.07716583071649e-271	-0.733180843814887	0.97	0.844	1.66216254965996e-266	"6"	"RPL17"
"COX5B.2"	3.98729511029072e-266	0.368550155747475	0.875	0.382	1.30536067320698e-261	"6"	"COX5B"
"GPSM3.3"	1.49826758188457e-263	-1.49960879216104	0.569	0.598	4.90502840957371e-259	"6"	"GPSM3"
"RPL3.2"	8.59264136920866e-263	-0.307629846847814	1	0.997	2.81305893145153e-258	"6"	"RPL3"
"RPS27A.2"	3.33165019473339e-259	0.264660907435166	1	0.991	1.09071564075182e-254	"6"	"RPS27A"
"RPL12.2"	1.24932360801834e-257	0.255592560275706	1	0.995	4.09003562793043e-253	"6"	"RPL12"
"DRAP1.2"	1.28061637864529e-255	0.292408158684301	0.823	0.347	4.19248190040896e-251	"6"	"DRAP1"
"PEBP1.2"	5.88651084005208e-255	0.27832484620104	0.8	0.336	1.92712591881625e-250	"6"	"PEBP1"
"IL2RG.4"	5.50420915694863e-244	-1.80027149019295	0.175	0.406	1.80196799380184e-239	"6"	"IL2RG"
"COMMD6.3"	1.73978514225406e-241	0.449948141571674	0.979	0.607	5.69570859871134e-237	"6"	"COMMD6"
"TRAF3IP3.4"	6.69564652484368e-239	-1.80468828966747	0.214	0.426	2.19202075930333e-234	"6"	"TRAF3IP3"
"RPL8.3"	1.47766540268575e-238	-0.366546635066377	1	0.991	4.8375809953126e-234	"6"	"RPL8"
"TMEM66.5"	1.08670312845822e-237	-1.36881193753476	0.727	0.643	3.55764870194651e-233	"6"	"TMEM66"
"CD2.5"	1.35013125928829e-236	-1.70339549288368	0.004	0.253	4.42005971665801e-232	"6"	"CD2"
"TXNIP.3"	1.62038064296485e-236	-1.66712716242685	0.445	0.541	5.30480214893832e-232	"6"	"TXNIP"
"KLF2.3"	3.67610018414186e-232	-1.73778822052176	0.072	0.32	1.20348167828436e-227	"6"	"KLF2"
"LAT.4"	1.95104558673861e-229	-1.70866354181027	0.037	0.285	6.38733304186486e-225	"6"	"LAT"
"RPL10A.2"	4.96310138725086e-226	0.255000239527392	1	0.988	1.62482013215819e-221	"6"	"RPL10A"
"UBL5.3"	2.7292781560373e-225	0.257409287695439	0.843	0.364	8.93511082723492e-221	"6"	"UBL5"
"NOSIP.5"	6.09242354942156e-213	-1.9446579605867	0.377	0.492	1.99453762160963e-208	"6"	"NOSIP"
"NDUFB11"	2.78052987610181e-210	0.254906077960851	0.866	0.389	9.10289870838209e-206	"6"	"NDUFB11"
"TPI1.4"	9.19925508920958e-207	0.258587154047798	0.841	0.384	3.01165213110543e-202	"6"	"TPI1"
"MT-CO3.3"	4.09732416137701e-204	0.292106272411064	0.999	0.949	1.3413819839516e-199	"6"	"MT-CO3"
"PSAP"	3.02051685608032e-201	-0.326461810583511	0.464	0.178	9.88856808343574e-197	"6"	"PSAP"
"SNRPD2.3"	3.61703155755314e-199	0.393792423436819	0.964	0.569	1.18414379131175e-194	"6"	"SNRPD2"
"LIMD2.4"	2.80479154086948e-197	-1.13261809665868	0.759	0.649	9.18232654649852e-193	"6"	"LIMD2"
"RPL7.3"	3.39114846110502e-196	0.260107437832056	1	0.976	1.11019418319656e-191	"6"	"RPL7"
"MZT2B"	2.25984703001247e-181	0.328732169518768	0.926	0.474	7.39828720685483e-177	"6"	"MZT2B"
"HCST.5"	6.82482189011522e-181	-1.75779811235043	0.417	0.501	2.23431019038592e-176	"6"	"HCST"
"CRIP1.6"	5.01855516814036e-179	-1.65688885544854	0.107	0.311	1.64297459094579e-174	"6"	"CRIP1"
"MT-CO2.4"	6.85450674746565e-179	0.310738166682609	0.996	0.876	2.2440284189853e-174	"6"	"MT-CO2"
"RPL41.4"	4.66794241048738e-175	-0.824150824909324	0.917	0.727	1.52819098634536e-170	"6"	"RPL41"
"HLA-DRB5.3"	8.74031017018784e-170	-0.924335458077367	0.491	0.198	2.86140274351609e-165	"6"	"HLA-DRB5"
"TSC22D3.5"	3.87116456493215e-167	-1.58477368575079	0.349	0.464	1.26734185526749e-162	"6"	"TSC22D3"
"ITM2B.3"	1.55553456480608e-160	-1.01299116439139	0.801	0.646	5.09250905826213e-156	"6"	"ITM2B"
"H3F3B.3"	7.93112648329096e-160	0.353191191505685	0.992	0.825	2.59649218809979e-155	"6"	"H3F3B"
"ITGB2.5"	7.21480374462786e-154	-1.64142414737889	0.152	0.326	2.36198244991627e-149	"6"	"ITGB2"
"LDHB.4"	3.93671103144794e-152	0.270421951924963	0.982	0.701	1.28880045747543e-147	"6"	"LDHB"
"PPDPF.2"	3.88324877298096e-149	-1.02089092200279	0.747	0.62	1.27129798329851e-144	"6"	"PPDPF"
"JUN.3"	5.5657244305184e-149	-1.25826727134197	0.612	0.601	1.82210686406312e-144	"6"	"JUN"
"GMFG.1"	2.95839291570616e-148	0.295744445041469	0.966	0.598	9.68518672743884e-144	"6"	"GMFG"
"TBC1D10C.2"	7.61779220970469e-146	-1.5451956075855	0.166	0.329	2.49391281361312e-141	"6"	"TBC1D10C"
"EEF2.3"	4.16304275389494e-141	0.268299744741911	0.987	0.753	1.36289693677012e-136	"6"	"EEF2"
"GLTSCR2.2"	1.88451962977349e-119	-0.530378447555672	0.981	0.856	6.16954036395245e-115	"6"	"GLTSCR2"
"COTL1.5"	2.30485176134236e-118	-1.57823914064881	0.247	0.363	7.54562369628262e-114	"6"	"COTL1"
"LSP1.4"	2.69824389744131e-118	-1.26430249099717	0.499	0.496	8.83351087144336e-114	"6"	"LSP1"
"CHCHD2.1"	5.53375318143474e-118	0.254947999835558	0.96	0.584	1.8116401165381e-113	"6"	"CHCHD2"
"IFITM2.4"	9.09080166872389e-111	-1.418669656245	0.615	0.535	2.97614665030683e-106	"6"	"IFITM2"
"CDC37.1"	1.80454339004065e-104	-0.256103861506589	0.451	0.207	5.90771415031509e-100	"6"	"CDC37"
"NDUFS7"	3.22428472606919e-104	-0.250172837905271	0.473	0.218	1.05556633362053e-99	"6"	"NDUFS7"
"PIN1"	2.93798404508972e-99	-0.275295985776651	0.381	0.174	9.61837216681472e-95	"6"	"PIN1"
"CTSD.1"	6.28581175018719e-99	-0.278144909720578	0.355	0.162	2.05784905077628e-94	"6"	"CTSD"
"GHITM"	3.838484077198e-98	-0.258027319651589	0.48	0.224	1.25664291719308e-93	"6"	"GHITM"
"ZFP36.2"	7.15383919825026e-98	-1.40640547975382	0.359	0.418	2.34202387672317e-93	"6"	"ZFP36"
"MAF1"	1.40405842940441e-96	-0.254864622360312	0.348	0.159	4.59660648618416e-92	"6"	"MAF1"
"HNRNPF.1"	2.83482307270469e-95	-0.284315614358315	0.412	0.192	9.28064377542062e-91	"6"	"HNRNPF"
"SEPT1.4"	5.2643264196348e-95	-1.36050007176977	0.192	0.306	1.72343518326004e-90	"6"	"SEPT1"
"EIF1.3"	8.1717945199783e-94	-0.33644682925473	0.995	0.953	2.6752820899505e-89	"6"	"EIF1"
"OCIAD2.3"	2.07311064865323e-91	-0.267117263678377	0.514	0.244	6.78694964156093e-87	"6"	"OCIAD2"
"DAZAP2.1"	3.53223408037583e-91	-0.295799608359484	0.48	0.228	1.15638279323344e-86	"6"	"DAZAP2"
"TWF2"	7.04447281263329e-90	-0.264467044857644	0.333	0.154	2.30621950939989e-85	"6"	"TWF2"
"DBI.3"	1.32959796057278e-89	-0.253988869978259	0.473	0.227	4.35283780332316e-85	"6"	"DBI"
"SSNA1"	8.90797854751282e-89	-0.290605355773035	0.42	0.199	2.91629401688475e-84	"6"	"SSNA1"
"ARHGDIB.4"	1.28992940926139e-88	-0.437486239388212	0.972	0.877	4.22297090003993e-84	"6"	"ARHGDIB"
"RPS19BP1.1"	4.09231247720623e-88	-0.298034344388647	0.44	0.209	1.33974125878777e-83	"6"	"RPS19BP1"
"BAX"	1.70133217207476e-87	-0.279547662563987	0.399	0.19	5.56982126493836e-83	"6"	"BAX"
"MAP1LC3B.1"	2.83229458936286e-87	-0.276419169017354	0.35	0.164	9.27236602665612e-83	"6"	"MAP1LC3B"
"LMAN2.1"	3.1773814008695e-87	-0.281897518894812	0.407	0.194	1.04021112301666e-82	"6"	"LMAN2"
"HLA-DQA1.1"	1.70129459078513e-86	-0.732842576755158	0.287	0.131	5.56969823131237e-82	"6"	"HLA-DQA1"
"COX4I1.1"	6.17882743475969e-83	-0.38533565982039	0.994	0.899	2.02282452559163e-78	"6"	"COX4I1"
"CLPP"	7.49895140979112e-83	-0.264650690202625	0.262	0.119	2.45500671253742e-78	"6"	"CLPP"
"MRPL55"	1.09410823480501e-81	-0.327138605382846	0.358	0.171	3.58189153910463e-77	"6"	"MRPL55"
"H3F3A"	9.60186154426614e-80	-0.263782317660927	0.304	0.144	3.14345743236185e-75	"6"	"H3F3A"
"RPL4.4"	1.48683137937842e-78	-0.324246507712493	0.995	0.955	4.86758856980906e-74	"6"	"RPL4"
"GGNBP2"	2.19651775701894e-78	-0.256291621054608	0.273	0.128	7.19095983292861e-74	"6"	"GGNBP2"
"CITED2"	7.96813488276614e-77	-0.27701197664471	0.329	0.161	2.60860799791998e-72	"6"	"CITED2"
"AURKAIP1"	1.48953727463445e-76	-0.323404666481128	0.483	0.237	4.87644712969827e-72	"6"	"AURKAIP1"
"SSU72"	3.77200754932628e-76	-0.326403347835647	0.43	0.211	1.23487983149844e-71	"6"	"SSU72"
"DPP7"	4.50507692370718e-76	-0.309602311275313	0.366	0.179	1.47487208328326e-71	"6"	"DPP7"
"KRT10.1"	1.22572130769524e-75	-0.29250325883312	0.535	0.264	4.01276641713269e-71	"6"	"KRT10"
"HAX1"	4.59444059322899e-75	-0.312031094611999	0.344	0.167	1.50412796141131e-70	"6"	"HAX1"
"LAMP1"	1.0075666989193e-74	-0.265910338345146	0.257	0.12	3.29857185892199e-70	"6"	"LAMP1"
"TMEM123.2"	4.73816363890965e-74	-0.360289562791839	0.411	0.202	1.55118001210624e-69	"6"	"TMEM123"
"UGP2"	6.62947819041363e-73	-0.296988206070071	0.294	0.141	2.17035856997761e-68	"6"	"UGP2"
"PLEKHJ1"	1.09006286146921e-72	-0.29745297929121	0.303	0.147	3.5686477958779e-68	"6"	"PLEKHJ1"
"KRTCAP2.3"	6.52385279296333e-71	-0.280911382790426	0.474	0.237	2.13577892736033e-66	"6"	"KRTCAP2"
"CCND3.3"	1.26429203900586e-69	-1.25752545525638	0.211	0.296	4.13903927729739e-65	"6"	"CCND3"
"OAZ1.4"	6.33299993429615e-68	-0.487065725716907	0.972	0.788	2.07329751848987e-63	"6"	"OAZ1"
"SAT1.3"	3.50769141609193e-67	-0.496960666841765	0.477	0.244	1.14834801580017e-62	"6"	"SAT1"
"TRAPPC1.2"	1.00218745438137e-66	-0.260280724267407	0.65	0.324	3.28096128815372e-62	"6"	"TRAPPC1"
